0,default,0
1,plz,1
2,m2,2
3,m2,3
4,m2,4
5,Jahre,5
6,Jahre,6
7,Jahre,7
8,Jahre,8
9,Meter,9
10,Meter,10
11,Meter,11
12,Meter,12
13,Meter,13
14,Meter,14
15,Meter,15
16,Jahre,16
17,Jahre,17
18,Jahre,18
19,Anzahl,19
20,Meter,20
21,Anzahl,21
22,kg,22
23,Anzahl,23
24,Meter,24
25,Anzahl,25
26,kg,26
27,Anzahl,27
28,Meter,28
29,Anzahl,29
30,kg,30
31,Anzahl,31
32,Meter,32
33,Anzahl,33
34,kg,34
35,m2,35
36,KW,36
37,KW,37
38,KW,38
39,KW,39
40,Grad Celsius,40
41,Grad Celsius,41
42,%rLF,42
43,kWh,43
44,m3,43
45,kWh,44
46,%,44
47,kWh,45
48,%',45
49,kWh,46
50,kWh,47
51,kWh,48
52,Anzahl,49
53,Watt,50
54,Stunden,51
55,kg,52
56,Liter,52
57,kg,53
58,Liter,53
59,Liter,54
60,m3,54
61,Meter,55
62,Pfl./Bag,56
63,Liter,57
64,Anzahl,58
65,Jahre,59
66,Meter,60
67,Jahre,61
68,Anzahl,62
69,Jahre,63
70,Anzahl,64
71,Jahre,65
72,Jahre,66
73,km,67
74,Anzahl,68
75,km,69
