0,default,0
1,Auswahl,1
2,Auswahl,2
3,Auswahl,3
4,Auswahl,4
5,Auswahl,5
6,Auswahl,6
7,Auswahl,7
8,Auswahl,8
9,Auswahl,9
10,Auswahl,10
11,Auswahl,11
12,Auswahl,12
13,Auswahl,13
14,Auswahl,14
15,Auswahl,15
16,Auswahl,16
17,Auswahl,17
18,Auswahl,18
19,Auswahl,19
20,Auswahl,20
21,Auswahl,21
22,Auswahl,22
23,Auswahl,23
24,Auswahl,24
25,Auswahl,25
26,Auswahl,26
27,Auswahl,27
28,Auswahl,28
29,Auswahl,29
30,Auswahl,30
31,Auswahl,31
32,Auswahl,32
33,Auswahl,33
34,Auswahl,34
35,Auswahl,35
36,Auswahl,36
37,Auswahl,37
38,Auswahl,38
39,Auswahl,39
40,Auswahl,40
41,Auswahl,41
42,Auswahl,42
43,Auswahl,43
44,kWh,44
45,m3,44
47,kWh,45
48,m3,45
50,kWh,46
51,kg,46
52,Liter,46
53,kWh,47
54,kg,47
55,kWh,48
56,kg,48
57,kWh,49
58,kg,49
59,kWh,50
60,kWh,51
61,Auswahl,52
62,Auswahl,53
63,kWh,54
64,%,54
65,kWh,55
66,%,55
67,kWh,56
68,%,56
69,kWh,57
70,%,57
71,kWh,58
72,%,58
73,kWh,59
74,%,59
75,kWh,60
76,%,60
77,kWh,61
78,%,61
79,kWh,62
80,%,62
81,kWh,63
82,%,63
83,Auswahl,64
84,Auswahl,65
85,Auswahl,66
86,Auswahl,67
87,kg,68
88,m3,68
89,kg/m2/a,68
90,kg,69
91,m3,69
92,kg/m2/a,69
93,kg,70
94,m3,70
95,kg/m2/a,70
96,kg,71
97,kg,72
98,kg,73
99,kg,74
100,kg,75
101,kg,76
102,kg,77
103,kg,78
104,kg,79
105,kg,80
106,kg,81
107,kg,82
108,kg,83
109,kg,84
110,kg,85
111,kg,86
112,kg,87
113,kg,88
114,kg,89
115,kg,90
116,kg,91
117,kg,92
118,kg,93
119,kg,94
120,kg,95
121,kg,96
122,kg,97
123,kg,98
124,kg,99
125,kg,100
126,kg,101
127,kg,102
128,kg,103
129,kg,104
130,kg,105
131,kg,106
132,kg,107
133,Anzahl,108
134,Anzahl,109
135,Anzahl,110
136,Anzahl,111
137,Anzahl,112
138,Anzahl,113
139,Anzahl,114
140,Voelker,115
141,Anzahl,116
142,Auswahl,117
143,Auswahl,118
144,Auswahl,119
146,kg,121
147,kg,122
148,kg,123
149,kg,124
150,kg,125
151,Auswahl,126
152,Auswahl,127
153,Auswahl,128
154,Auswahl,129
155,Auswahl,130
156,Auswahl,131
157,Auswahl,132
158,Auswahl,133
159,Auswahl,134
160,Auswahl,135
161,Auswahl,136
162,Auswahl,137
163,Auswahl,138
164,Auswahl,139
165,Auswahl,140
166,Auswahl,141
167,Auswahl,142
168,Auswahl,143
169,Auswahl,144
170,Auswahl,145
171,Auswahl,146
172,Auswahl,147
173,Auswahl,148
174,Auswahl,149
175,Auswahl,150
176,kg,151
177,kg,152
178,kg,153
179,kg,154
180,kg,155
181,kg,156
182,kg,157
183,kg,158
184,l/h,159
185,Auswahl,160
186,Auswahl,161
187,Auswahl,162
188,Auswahl,163
189,Auswahl,164
190,Auswahl,165
191,Auswahl,166
192,Jahre,167
193,Jahre,168
194,Jahre,169
195,Auswahl,170
